,Top queries,Clicks,Impressions,CTR,Position
0,collocutor,28248,1344720,0.021006603605211494,1
1,distancer,28068,163086,0.17210551488171885,3
2,constricting,27612,145767,0.18942559015415011,2
3,gum-cistus,27552,373587,0.07374988958395233,4
4,decamp,27495,119022,0.23100771285980742,1
5,interposure,26748,359007,0.07450551103460379,12
6,swizz,26718,1191576,0.02242240528510141,3
7,faceting,26574,193110,0.1376106882087929,11
8,supplier,26577,378021,0.07030561794186037,2
9,accusement,26382,350004,0.0753762814139267,20
10,landforms,25929,1062003,0.024415185267838226,1
11,shearing,25875,130956,0.19758544854760376,19
12,cryptofascist,25881,587670,0.04404002246158558,7
13,extrane,25833,588210,0.04391798847350436,5
14,tremulousness,25767,423903,0.060785132447753375,12
15,wellness,25350,94788,0.26743891631852135,8
16,hand-list,25293,1142322,0.022141742871099393,2
17,advancement,25059,123003,0.20372673837223482,1
18,double-play,25035,1666185,0.015025342323931616,1
19,unmaterialized,25035,100422,0.24929796259783712,4
20,chiroptera,24936,1234449,0.020200105472158024,2
21,arcadelike,24915,401118,0.0621138916727746,13
22,buildress,24918,282375,0.08824435590969455,10
23,taivers,24891,389307,0.06393668749855512,5
24,umeshu,24759,77136,0.32097853142501553,4
25,nonblack,24321,392208,0.062010463835515846,18
26,Judaization,24243,1244370,0.019482147592757782,7
27,unenlightened,24213,170550,0.14197009674582234,9
28,yapped,24192,91350,0.26482758620689656,15
29,hieroglyphist,24081,1254927,0.01918916399121224,18
30,stilt,24024,3738015,0.006426940501843893,5
31,include,23964,302361,0.07925625328663419,17
32,endotheliomata,23649,240744,0.09823297776891636,6
33,sorceresses,23631,472071,0.0500581480328171,5
34,acranial,23604,205482,0.11487137559494262,9
35,forgotten,23361,1430121,0.01633498144562593,12
36,loups-garous,23337,1413831,0.016506216089476042,6
37,deconvolute,23295,5349345,0.00435473875773576,18
38,three-up,23265,16638027,0.0013983028155922575,20
39,hatchetman,23238,469293,0.04951703946148781,3
40,wealthier,23235,157251,0.14775740694812753,9
41,cysts,23190,1104018,0.021005092308277584,1
42,Nicaragua,23151,306372,0.07556499941247895,5
43,chargeable,23094,2346678,0.009841145653557924,15
44,swobber,22638,1077720,0.021005455962587686,1
45,divine,22557,440448,0.0512137641673932,3
46,Kefauver,22539,1141236,0.01974963986414729,4
47,dark-gray,22407,929352,0.02411034785527981,5
48,unbleached,22332,588024,0.03797804171258316,19
49,juicy,22317,1518549,0.014696265974953722,1
50,Yambol,22281,438456,0.050816957687886584,1
51,orientalise,22275,461412,0.04827572754934852,1
52,Reinhardt's,21921,926922,0.023649239094551647,9
53,smegger,21675,595878,0.036374895532306946,3
54,Maury,21615,2451018,0.0088187846845678,19
55,langoustines,21537,489336,0.04401270292804944,14
56,subverticillate,21459,973341,0.022046744152357703,9
57,bulblet,21270,1658688,0.01282338812362542,10
58,copyeditors,21246,5172021,0.0041078719517960195,12
59,kitting,21141,277347,0.07622581098767969,6
60,staid,21060,208200,0.10115273775216138,16
61,bacterially,20940,853293,0.024540222408949798,11
62,vulcanism,20721,634080,0.03267884178652536,18
63,flesh,20625,1437012,0.014352698516087548,12
64,remunerates,20643,1714671,0.012039044224810475,14
65,unaided,20580,2476506,0.008310094948286013,19
66,forebodings,20031,197292,0.10152971230460434,14
67,hit-and-run,19644,358692,0.05476564852296678,8
68,subbasements,19602,756009,0.02592826275877668,18
69,privateerism,19581,944358,0.020734721366261522,7
70,autoregulate,19572,497118,0.039370934063944575,15
71,decimalises,19557,191478,0.10213706013223452,9
72,unsown,19461,1104342,0.017622258322150204,11
73,purblind,19368,344025,0.05629823413996076,11
74,palimpsest,19254,363444,0.05297652458150361,5
75,porcellaneous,19128,138735,0.1378743647961942,5
76,dim-bulb,18957,139104,0.13627933057280883,14
77,dexter,18777,787119,0.023855350969802534,4
78,jetstreams,18354,633852,0.028956286325514474,1
79,thickspread,18240,485835,0.03754361048504122,11
80,decomposes,18069,1775340,0.010177768765419582,9
81,Burgenland,18030,1161021,0.01552943486810316,12
82,twelvemos,17961,458754,0.039151702219490186,16
83,run-ons,17931,120195,0.14918257831024584,11
84,weare,17874,113685,0.1572239081673044,11
85,oxisol,17817,940692,0.018940312025615184,4
86,foresightedness,17652,608733,0.028997935055270537,12
87,refortified,17451,374733,0.04656915723995485,15
88,clairvoyance,17241,100008,0.17239620830333574,8
89,bulimic,17094,411024,0.04158881233212659,4
90,chrismation,16668,1187100,0.014040940106141016,13
91,blue-stone,16662,514008,0.03241583788579166,9
92,shaken,16665,951627,0.01751211346462427,20
93,Boontling,16614,165015,0.10068175620398145,15
94,eliminator,16557,847659,0.019532618659154212,2
95,photocatalytic,16461,88911,0.18514019637615142,9
96,parrot,16461,1280676,0.012853368064990676,9
97,tightwads,16392,581643,0.028182235494968563,7
98,clumps,16383,239145,0.06850655460076523,4
99,debunks,16365,676005,0.02420840082543768,17
100,carvol,16137,981009,0.01644939037256539,16
101,San Polo,16107,654930,0.024593468004214192,10
102,cinemas,15981,477117,0.03349492891680657,15
103,triangulary,15852,873165,0.018154644311212657,3
104,defiled,15771,238602,0.06609751804259813,15
105,vulgarized,15765,647016,0.024365703475648207,3
106,passing,15726,483591,0.03251921561815667,3
107,high-risk,15717,378741,0.04149801579443472,9
108,bastinade,15711,135873,0.11563003687266786,5
109,bifocaled,15690,767094,0.020453816611784213,2
110,hydrogen,15561,546675,0.028464809987652627,14
111,firestone,15543,709221,0.02191559471589251,20
112,gauntleted,15492,385821,0.04015333535499623,16
113,vented,15441,151008,0.10225286077558805,18
114,utensils,15321,516684,0.02965255359175047,6
115,re-create,15216,895275,0.0169958951160258,3
116,tusks,15165,105579,0.1436365186258631,5
117,trolley-line,15084,673170,0.022407415660234412,3
118,stopcocks,15045,104382,0.14413404609990227,19
119,enshadow,15021,1249836,0.012018376811037608,12
120,uncollaring,15003,720018,0.02083697907552311,4
121,sooty-black,14997,174435,0.08597471837647261,5
122,Mombasa,15006,333102,0.045049264189347404,15
123,unveilers,14997,359025,0.041771464382703155,12
124,mimetically,14973,532014,0.028143996210626035,1
125,intradivision,14931,1514844,0.009856460467216426,6
126,thatchers,14790,318189,0.04648180798204841,1
127,trickeration,14790,109392,0.13520184291355858,5
128,geostrategy,14742,303021,0.048650093557872226,10
129,pierian,14733,292590,0.05035373731159643,8
130,right-handers,14532,5187354,0.0028014282426069245,11
131,cylindric,14475,4719357,0.003067155123039007,12
132,bomber,14412,2970678,0.004851417757158467,16
133,incalzando,14214,1015350,0.013999113606145664,12
134,sap-stain,14211,252387,0.056306386620547016,20
135,supremely,14184,371337,0.03819710936427019,4
136,evangelising,14139,628374,0.022500930974228724,1
137,shintiyan,14106,850557,0.01658442644055601,15
138,weathermen,14091,264378,0.05329868597235776,6
139,whelks,14070,1668009,0.008435206284858176,11
140,outtrading,14070,283443,0.049639610080333615,7
141,corone,14058,500004,0.02811577507379941,1
142,semisecret,14040,470694,0.02982829609045367,12
143,repealability,14043,623442,0.02252495019584821,4
144,maying,14013,198378,0.07063787315125669,1
145,overscan,13875,351672,0.039454377943083326,11
146,discountenances,13860,907470,0.015273232172964396,15
147,strapper,13860,184920,0.07495133030499676,9
148,coulombic,13821,103791,0.1331618348411712,11
149,aposiopestic,13770,423579,0.03250869377377066,4
150,shove-groat,13731,284937,0.048189599806272965,11
151,sennit,13635,412296,0.033070900518074396,3
152,discharged,13599,337848,0.040251829224976915,1
153,cableway,13587,193353,0.07027043800716824,4
154,travertine,13542,324546,0.0417259802924701,4
155,chitose,13473,1257357,0.01071533383120307,10
156,portfire,13398,564522,0.023733353173127,20
157,laryngoscopies,13380,497283,0.02690620833609836,3
158,perimeter,13338,1092570,0.012207913451769681,16
159,wire-gage,13320,1853085,0.0071880135018091455,11
160,Boniface VIII,13320,1037475,0.012838863587074388,10
161,hauyne,13119,514017,0.025522502174052608,1
162,uninstallable,13056,630204,0.02071710112915818,7
163,membrum,13035,92010,0.1416693837626345,2
164,Alexander,13041,836340,0.015592940670062415,13
165,Apollinaire,13008,107343,0.12118163271009753,10
166,interminable,13008,412200,0.03155749636098981,5
167,uniaxal,13002,56550,0.22992042440318303,6
168,narcotine,12951,1930683,0.006707988830895595,6
169,puppeteer,12933,373164,0.03465768402096665,3
170,topped,12837,2873016,0.004468126874336934,14
171,blackguardly,12825,1468008,0.008736328412379224,9
172,vicenarians,12804,1606356,0.00797083585456773,16
173,exsufflicate,12786,860754,0.014854418335552318,16
174,fixing-bath,12651,826068,0.015314719853571376,15
175,exporters,12558,487452,0.025762536618990178,2
176,train-bearers,12525,311670,0.04018673597073828,20
177,papillote,12540,282489,0.04439110903433408,1
178,commentatorial,12519,368727,0.03395194818931079,2
179,triumphalisms,12498,3641355,0.0034322388231853252,10
180,waking,12501,2900679,0.00430968059547437,6
181,apikoros,12474,190737,0.06539895248431085,9
182,linked,12477,542388,0.02300382751830793,3
183,turnouts,12456,123153,0.10114248130374412,5
184,cancer-root,12453,1143672,0.010888611420057499,15
185,naucrates,12423,5952021,0.0020871902165667763,20
186,bentgrass,12396,301833,0.04106906799455328,10
187,ostrichlike,12402,1350342,0.009184339967208308,15
188,cat-house,12381,458025,0.02703127558539381,1
189,Dept.,12168,150378,0.08091609144954715,20
190,lighter,12171,610935,0.019921922954160426,7
191,Briggs,12150,1186371,0.010241315743557454,10
192,penitis,12096,301437,0.04012778789597826,2
193,peptonic,12063,1047021,0.011521258885924925,7
194,jostlers,12060,236838,0.05092088262863223,12
195,Sterlitamak,12051,516027,0.023353429181031227,9
196,impecunious,11988,667602,0.017956806600339725,9
197,grabbable,11928,2450694,0.004867192721735149,15
198,Vinnie,11913,146871,0.08111199624159977,5
199,Torricellian,11847,1338678,0.00884977567420993,9
200,arm-sling,11691,419664,0.027858000686263297,14
201,monopartite,11622,290313,0.040032654410928896,15
202,volley-ball,11532,890007,0.012957201460213234,18
203,beardom,11532,144738,0.07967499896364466,5
204,optional,11430,382200,0.029905808477237047,14
205,obtain,11382,555831,0.020477447281637765,9
206,coldcocks,11373,812019,0.014005829912846867,7
207,cherry-sized,11364,179730,0.06322817559672843,12
208,witchfinder,11337,115713,0.09797516268699281,5
209,shit-fit,11331,320184,0.03538902630987183,12
210,interscholastic,11328,490479,0.023095790033824077,3
211,preponderous,11331,1262691,0.00897369190086886,8
212,cossetting,11304,978342,0.011554241768216022,18
213,rascalry,11256,662382,0.016993215395345887,9
214,overfriendly,11262,507003,0.022212886314282164,10
215,worthiest,11142,838338,0.013290582080258798,18
216,twattler,11094,299646,0.0370236879517831,5
217,gleaner,11037,1253022,0.00880830504173111,12
218,ceratitis,10989,134649,0.08161219169841588,19
219,mordente,10965,308385,0.03555620409552994,11
220,fourteen,10950,437118,0.025050444044857453,7
221,Spark,10911,4846506,0.0022513125950942804,19
222,inermes,10890,1000011,0.010889880211317676,11
223,cybersquatting,10869,523476,0.020763129541755496,14
224,piranhas,10866,364239,0.029832060817210678,9
225,sternutatory,10869,158931,0.06838816845045963,5
226,helplines,10833,939681,0.01152838037589352,9
227,excellency,10812,355476,0.03041555548053877,18
228,pastable,10803,240576,0.044904728651237034,1
229,apothesis,10803,375465,0.0287723223203228,6
230,phasmids,10794,412239,0.026183839956918194,9
231,sheatfish,10794,2067336,0.0052212122267497885,11
232,incommunicable,10785,1962003,0.005496933490927384,9
233,sportsbook,10731,347832,0.03085110053129097,18
234,unrigged,10704,685008,0.015626094877724057,9
235,ombudspeople,10698,464373,0.023037515101007166,9
236,suttees,10701,724680,0.014766517635370095,4
237,ignobleness,10674,467352,0.022839315975966723,15
238,skews,10668,318366,0.03350860330562937,10
239,bootes,10653,564336,0.018877051969039722,11
240,heathenishly,10602,279660,0.03791031967388973,11
241,rhotacises,10566,298578,0.03538773787753954,3
242,Prophet,10536,490677,0.021472373883430443,2
243,jetskiing,10518,244626,0.04299624733266292,3
244,unbreathable,10497,250557,0.04189465870041548,11
245,amusing,10473,239295,0.04376606280950292,6
246,Formicidae,10407,286071,0.03637908071772392,11
247,malignity,10371,267279,0.03880215056177253,1
248,recertifies,10365,782337,0.013248766196664609,14
249,saluting,10353,422022,0.024531896441417747,4
250,brittles,10365,214944,0.048221862438588656,9
251,bikies,10350,1348023,0.007677910540102061,9
252,toddlerhood,10323,262755,0.0392875492378832,2
253,fancied,10323,194721,0.053014312785986104,4
254,langue,10299,756018,0.013622691523217701,12
255,manipulability,10257,340455,0.030127329603031237,1
256,bloviated,10203,197115,0.05176166197397458,11
257,fandabidozi,10188,241293,0.04222252614041849,3
258,Enoch,10167,342636,0.029672889013413653,1
259,unexciting,10170,628026,0.016193597080375655,13
260,nighest,10158,674922,0.015050628072577276,15
261,ga-ga,10155,302013,0.033624380407465904,4
262,polygynian,10089,910161,0.01108485202068645,12
263,nuclease,10059,1312671,0.007663001620360319,4
264,integrationist,10002,473682,0.0211154318720154,17
265,surmullet,9948,250197,0.0397606685931486,6
266,bejewels,9942,252753,0.03933484469027074,4
267,dechlorination,9903,449358,0.022038107700319123,8
268,mainlining,9894,421650,0.023464959089292067,2
269,iron-hearted,9873,300453,0.03286038082495432,3
270,invulnerable,9873,562356,0.017556494462582423,16
271,debarb,9831,190605,0.05157787046509798,5
272,doctresses,9789,184581,0.05303362751312432,16
273,cottonous,9744,194370,0.05013119308535268,18
274,signori,9735,187290,0.05197821560147365,5
275,liour,9726,298005,0.03263703629133739,4
276,gacks,9705,1910418,0.005080040074999293,20
277,class,9696,336015,0.02885585464934601,15
278,shroffage,9705,288708,0.033615279105532234,9
279,pretheater,9621,208152,0.04622103078519543,3
280,shutdown,9600,409002,0.02347176786421582,18
281,crepuscule,9585,170493,0.05621931692210237,20
282,pin-lock,9573,259314,0.03691663388787339,3
283,trifling,9570,285648,0.033502772643253236,17
284,hallucinations,9561,328689,0.02908828710422314,20
285,self-punishment,9546,166083,0.05747728545365871,15
286,rebrightenings,9528,214572,0.04440467535372742,16
287,labium,9483,209115,0.045348253353417974,5
288,lighten,9444,6205527,0.0015218691337576969,20
289,tousy,9429,422781,0.022302326736537356,12
290,sagacious,9408,275481,0.03415117558016705,2
291,interposer,9363,990690,0.00945098870484208,9
292,ranunculaceæ,9315,1080015,0.008624880209997084,7
293,unfit,9297,368349,0.025239650440207522,10
294,residing,9273,1449021,0.006399493175047152,19
295,mooching,9267,292482,0.03168400106673231,3
296,mortices,9252,406386,0.022766532311644595,9
297,thatch-grass,9243,293148,0.03153014859388432,2
298,retrograde,9213,199656,0.04614436831349922,3
299,badger,9222,187827,0.04909837243846731,9
300,deciduousness,9219,415026,0.022213066169348428,15
301,dye-bath,9201,990738,0.009287016345391011,20
302,deceive,9189,918669,0.010002514507401469,7
303,kathakali,9171,308307,0.029746324280668295,9
304,reworded,9102,161862,0.056233087444860434,4
305,Brayden,9003,123102,0.07313447385095287,7
306,meatballs,9003,382860,0.023515123021469988,3
307,suspiration,9009,1143360,0.0078794080604534,16
308,nightrider,9000,375687,0.023956112402079392,16
309,ultraviolent,8982,326013,0.027551048577817448,2
310,cable-car,8985,142023,0.06326440083648423,3
311,Hafun,8976,252012,0.03561735155468787,1
312,plaguily,8919,124437,0.07167482340461438,5
313,well-wished,8901,260439,0.03417690898828517,1
314,prole,8910,148932,0.05982596084118927,14
315,corkless,8886,2457006,0.0036165967848674364,20
316,cover-glass,8874,2431227,0.0036500088227055722,19
317,umami,8874,112791,0.07867649014549033,16
318,destaining,8850,419337,0.021104743917183554,18
319,river-horse,8853,1268028,0.00698170702855142,7
320,assailable,8835,113097,0.07811878299159129,5
321,noggins,8820,302007,0.02920462108494174,12
322,Americanise,8793,130188,0.06754078716932436,3
323,wavebands,8700,114015,0.07630574924352058,5
324,stolidity,8703,474672,0.018334765901506726,12
325,oxeye,8679,396357,0.021896926255875384,9
326,rhythmization,8670,199773,0.04339925815800934,16
327,excretions,8673,155157,0.055898219223109495,1
328,Barbuda,8682,556692,0.015595697441314048,8
329,muddies,8643,362691,0.023830202569129093,7
330,post-haste,8628,204555,0.042179364962968396,7
331,middle,8619,279690,0.030816260860238122,15
332,incisors,8628,263826,0.032703372677446496,15
333,KwaZulu,8583,64737,0.13258260345706474,5
334,rabbits,8550,913002,0.009364711139734633,5
335,Frizell,8526,113109,0.07537861708617351,12
336,troop,8511,80742,0.10540982388348072,6
337,plug-cock,8493,251679,0.033745366121130486,4
338,links,8490,297639,0.02852448771834336,5
339,whipsawing,8472,182337,0.046463416640616005,6
340,chinchin,8475,106755,0.07938738232401292,7
341,alphabetizes,8418,126024,0.06679680060940774,11
342,myography,8421,2181672,0.0038598836122020175,15
343,waterflooded,8376,170340,0.04917224374779852,11
344,ebrieties,8379,423027,0.019807246345977917,19
345,multigeneration,8331,1534743,0.005428270400972671,9
346,parvocellular,8325,1597023,0.005212824110861271,19
347,spoutless,8262,204864,0.040329194001874416,6
348,martin,8241,88926,0.09267255920653128,11
349,antimalaria,8238,304257,0.027075794476380165,5
350,massacred,8208,199407,0.04116204546480314,2
351,propagandized,8211,865062,0.00949180521164957,1
352,cantaloupes,8211,1913013,0.00429218201862716,6
353,distributing,8202,219111,0.037433081862617575,4
354,booby,8157,2548380,0.003200857015044852,19
355,aquage,8109,524571,0.01545834596270095,16
356,acclimates,8046,135450,0.05940199335548173,3
357,procreates,8040,422022,0.01905113951405377,11
358,interrelations,8049,192018,0.04191794519263819,4
359,cackie,8034,129879,0.06185757512761878,2
360,chortled,8034,1464198,0.005486962828797745,12
361,uterin,8016,3702012,0.0021653090265509674,15
362,letters,8004,455358,0.01757737867787543,6
363,rallies,7980,229788,0.034727662018904384,5
364,thereness,7959,216378,0.03678285223081829,15
365,hiddenite,7962,161868,0.049188227444584474,3
366,parisons,7926,94008,0.08431197344906817,14
367,life-rent,7905,230943,0.03422922539327886,2
368,owl-moth,7881,1099002,0.007171051554046307,11
369,La Nina,7899,2892009,0.002731319300873545,10
370,rigorous,7884,195840,0.04025735294117647,2
371,postboy,7899,685284,0.01152660794648642,6
372,duumviri,7887,117462,0.06714511927261582,5
373,metabolome,7851,109578,0.07164759349504463,4
374,nudies,7851,165309,0.047492876975845234,3
375,coagulates,7848,1127337,0.006961538563889946,8
376,vibrate,7812,175392,0.04454022988505747,2
377,thruput,7788,870012,0.008951600667577,10
378,know-nothing,7761,286374,0.02710092396656121,10
379,transflux,7773,418020,0.018594804076359984,16
380,virgules,7767,148746,0.05221653019240854,3
381,Ugandans,7728,340509,0.022695435362941947,20
382,Crepis,7665,399276,0.019197247017100953,12
383,infumation,7656,154164,0.04966139954853273,4
384,unswathed,7596,1536489,0.004943738614464535,20
385,incivilization,7596,1489515,0.0050996465292393834,20
386,winged,7596,366732,0.020712673014626485,9
387,calopogon,7596,353322,0.02149880279178766,15
388,towrope,7584,187644,0.04041695977489288,15
389,preludium,7578,1165335,0.006502851111482964,6
390,undecked,7560,474003,0.015949266143885164,7
391,unseating,7533,34962,0.2154625021451862,18
392,shirts,7530,133839,0.056261627776657025,10
393,whirl,7515,71649,0.10488632081396809,16
394,solvay,7482,141714,0.052796477412252844,16
395,angostura,7395,227298,0.03253438217670195,2
396,fustiness,7326,3312939,0.002211329577755582,12
397,drugget,7314,1464348,0.004994714371174065,20
398,hoopy,7251,1055352,0.006870693380028654,15
399,instruct,7224,4582674,0.0015763722228550406,9
400,thirty-twomo,7239,466344,0.015522875816993464,7
401,Rombauer,7230,152166,0.04751389929419187,4
402,putrescine,7224,871644,0.008287787215881713,19
403,doucin,7206,153006,0.04709619230618407,3
404,statesmanship,7200,181299,0.03971340161832112,10
405,seatwork,7185,3699297,0.0019422609214669706,20
406,Kibor,7164,154020,0.046513439813011294,1
407,Greco,7116,148737,0.047842836684886744,2
408,agarwood,7113,318003,0.022367713512136678,10
409,inelegances,7050,2104680,0.0033496778607674327,7
410,hindlimbs,7035,52023,0.13522864886684735,5
411,educatable,7014,128487,0.05458918022834995,7
412,button-nosed,7008,151656,0.046209843329640767,4
413,motorcaravan,6978,70335,0.09921091917253146,20
414,black-dye,6987,158382,0.04411486153729591,18
415,Peacock Throne,6987,391005,0.017869336709249242,7
416,Four Corners,6966,374010,0.018625170449987967,3
417,kinematical,6951,183825,0.03781313749490004,18
418,diagnosably,6930,594012,0.0116664309811923,19
419,bezier,6873,941835,0.007297456560862572,15
420,Mon-Khmer,6852,84294,0.08128692433625169,5
421,flat-out,6843,2224026,0.0030768525188104817,9
422,circulators,6807,124944,0.05448040722243565,4
423,waits,6744,777828,0.00867029728937503,16
424,melanistic,6729,1516572,0.004436980242283254,5
425,asketh,6711,186465,0.03599066849006516,18
426,thermoelectric,6687,232020,0.02882079131109387,1
427,deracialize,6684,1619832,0.0041263538441023515,5
428,schoolmarms,6666,988344,0.006744615235181273,9
429,Annapurna,6633,5378025,0.0012333523923745242,4
430,jumpier,6642,2621691,0.0025334793459641123,14
431,flesh-eating,6609,273279,0.024184075615030793,1
432,car-coupling,6597,1328184,0.004966932292513688,8
433,metagrabolized,6591,101826,0.06472806552354016,9
434,utilizable,6570,2384022,0.0027558470517470056,11
435,hinkier,6561,1093830,0.0059981898466855,15
436,sippet,6540,2579004,0.002535862681872537,16
437,nut-pine,6531,658554,0.009917182190070973,7
438,factory,6474,838374,0.007722090618268219,4
439,retinaldehyde,6474,464826,0.013927792335196396,11
440,oversulfated,6453,65298,0.09882385371680603,3
441,transient,6390,979596,0.006523097276836573,6
442,nonburnable,6336,66627,0.0950965824665676,1
443,disusage,6330,56847,0.11135152250778405,16
444,winging,6315,633024,0.00997592508340916,10
445,biophysics,6312,102195,0.06176427418171143,1
446,translator,6318,3654669,0.0017287475281619212,12
447,kinswoman,6300,2594694,0.0024280319760249186,15
448,patronization,6285,57585,0.10914300599114353,1
449,stulp,6273,2172006,0.0028881135687470476,4
450,soul-destroying,6204,688926,0.009005321326238231,4
451,unblurred,6198,73728,0.08406575520833333,12
452,bagladies,6210,1205673,0.0051506503007034245,6
453,batches,6192,62922,0.09840755220749499,15
454,unicameral,6186,656028,0.009429475571164645,16
455,uptempo,6171,1268025,0.0048666232921275214,12
456,reviser,6168,627648,0.00982716427041909,17
457,Barts,6180,38859,0.1590365166370725,3
458,unmurmured,6123,603012,0.010154026785536606,15
459,stuffed-animal,6093,209874,0.029031704737127993,2
460,polyphone,6111,400911,0.01524278455816877,6
461,manitou,6084,253647,0.02398609090586524,12
462,nigritic,6063,324909,0.018660609586068716,10
463,formene,6060,1828014,0.0033150730793090207,18
464,softens,6030,1330350,0.004532641785996166,9
465,sententia,6009,52599,0.11424171562197,8
466,ercalcitriol,6009,716547,0.00838605143835645,9
467,deforesting,5976,1362021,0.004387597548055427,4
468,fangirl,5955,2238021,0.0026608329412458596,20
469,jujube,5925,852669,0.0069487691003191155,7
470,glottis,5931,1492407,0.003974116980153537,4
471,schematic,5934,774936,0.00765740654712131,7
472,either,5910,1672926,0.0035327324699359086,3
473,theve,5898,924363,0.006380610214818204,15
474,outlain,5889,591456,0.009956784612887518,19
475,bloomiest,5886,1023018,0.005753564453411377,7
476,merit,5826,530691,0.010978139821478035,15
477,whittles,5814,1518357,0.0038291389969552616,17
478,wretchedness,5790,1137663,0.005089380598648281,5
479,sternwheel,5742,1837872,0.003124265454830369,20
480,excarnated,5724,652920,0.008766770814188569,9
481,landscapes,5709,788004,0.007244887081791463,18
482,incor,5724,342294,0.01672246665147505,1
483,brandishes,5703,479004,0.011905954856326879,18
484,godparent,5697,8877006,0.00064177043476145,20
485,midthought,5667,318924,0.017769123678368515,12
486,cortège,5580,49647,0.11239349809656173,20
487,undergrounder,5568,1186692,0.0046920346644285125,16
488,hardening-off,5541,526341,0.010527395737744163,10
489,hatch,5535,208731,0.026517383618149676,9
490,unexperience,5541,1462605,0.003788445957726112,18
491,twelfth-night,5538,20005005,0.00027683072311154134,4
492,grandmaternal,5523,1072440,0.005149938458095558,5
493,trichinophobia,5514,306582,0.017985400317044053,1
494,tea-strainer,5502,626919,0.008776253391586473,6
495,brasier,5490,746025,0.007359002714386247,1
496,teetotaller,5460,1204158,0.004534288689690223,2
497,colourwise,5475,1148676,0.004766357092861695,15
498,monition,5472,1187022,0.0046098555881862345,3
499,remanence,5460,1078377,0.005063164366450694,5
