,Top queries,Clicks,Impressions,CTR,Position
500,narrativizes,5442,378351,0.014383469318172807,14
501,napoleons,5433,3796503,0.0014310537881834942,20
502,unencouragingly,5427,732720,0.007406649197510645,9
503,bettet,5442,776736,0.007006241502904462,2
504,derivatization,5400,189099,0.028556470420256056,16
505,treadwheel,5382,1542411,0.0034893423348251536,10
506,uniformity,5313,195558,0.027168410394870064,3
507,emmenagogue,5322,7593012,0.0007009076240100766,19
508,interimistic,5295,210189,0.0251916132623496,11
509,misfires,5301,1005381,0.005272627988792309,5
510,posterity,5298,2055339,0.002577676967157243,12
511,lyricize,5274,2036013,0.0025903567413371135,14
512,endoglobular,5268,1337343,0.003939153979196063,12
513,spasmodic,5259,682005,0.00771108716211758,6
514,untrod,5250,738669,0.007107378270917015,8
515,articulator,5256,520695,0.010094201019790857,8
516,takable,5259,1131888,0.004646219413934948,18
517,nonarrival,5226,652389,0.008010558117932706,9
518,myspaces,5208,787884,0.006610110117733067,3
519,escapology,5196,1388667,0.0037417177768320265,11
520,elate,5166,641244,0.008056215730673503,2
521,agglomerate,5163,826128,0.00624963686014758,6
522,cut-pile,5163,280203,0.018425926917270692,18
523,Quaker,5151,343692,0.014987256031563144,10
524,unceasingly,5124,169647,0.030203893968063097,9
525,manatee,5136,314340,0.016338995991601452,9
526,extention,5115,1189020,0.004301862037644447,12
527,sheeling,5097,196383,0.025954385053696093,12
528,ringbarked,5094,382344,0.013323080785889146,16
529,rondos,5091,636927,0.007993066709371718,1
530,unmemorable,5079,1472619,0.0034489572659323286,7
531,tussive,5076,285027,0.017808839162605648,15
532,torchless,5061,655275,0.007723474876960055,5
533,Armaghan,5073,364569,0.013915061346411791,11
534,rhinoplastic,5070,490455,0.010337339817108604,1
535,puff-pastry,5064,564027,0.008978293592328027,18
536,hip-rose,5049,203643,0.024793388429752067,15
537,opinionated,5031,597453,0.008420746067054646,4
538,smicker,5019,472629,0.010619322978488412,3
539,megalodon,5007,335676,0.014916169163121582,11
540,space-lattice,5016,796764,0.006295465156558279,9
541,buglike,5016,2661687,0.0018845191038615735,19
542,tail-coat,5001,569667,0.008778812885422536,1
543,cynocephalic,4983,801675,0.00621573580316213,4
544,thobes,4989,777183,0.006419337530543,4
545,hallowmass,4965,2241024,0.002215505054832077,20
546,under-exposed,4947,346209,0.014289056610313423,11
547,panao,4947,1006437,0.004915359828782129,4
548,calipash,4938,144195,0.03424529283262249,10
549,unprosperous,4956,1038675,0.004771463643584374,10
550,grass-pink,4926,130956,0.03761568771190323,6
551,burble,4929,525480,0.009379995432747203,7
552,ungiving,4914,568347,0.008646126398133535,11
553,perrey,4917,117183,0.04196001126443256,15
554,exactlier,4926,763962,0.006447964689343187,5
555,myrosin,4926,739209,0.0066638799040596094,4
556,osteopontin,4923,543639,0.009055641703409799,3
557,passerby,4917,1111215,0.004424886273133462,19
558,workplaces,4902,504744,0.009711853929912986,16
559,antiretaliation,4899,1034028,0.0047377827292877945,15
560,rigidly,4878,293832,0.01660132320509679,10
561,familism,4869,894021,0.00544618079441087,5
562,dragoons,4875,571422,0.00853134811050327,12
563,transfigure,4824,381579,0.012642205152799289,2
564,chequing,4818,506946,0.009503970837130582,2
565,hard-spun,4800,1686693,0.002845805371813365,11
566,unlawfully,4785,713289,0.0067083608467255204,5
567,thorn-bush,4782,191349,0.024990985058714704,14
568,cetrarin,4794,789642,0.006071105640277493,3
569,boniface,4773,180456,0.0264496608591568,1
570,riverboats,4764,990747,0.004808492985595717,20
571,purpoint,4776,600681,0.007950975642645597,8
572,hurted,4749,5372673,0.0008839175583550311,14
573,cobalamine,4737,504360,0.009392100880323578,13
574,arbutus,4740,270936,0.017494906546195413,12
575,hajji,4710,788370,0.005974352144297728,5
576,piassava,4719,614025,0.007685354830829364,4
577,bailable,4719,1845351,0.0025572370784745016,10
578,avionics,4692,1185297,0.003958501540120324,18
579,burkini,4692,469125,0.01000159872102318,7
580,squirter,4686,315096,0.014871658161322264,11
581,slanted,4665,190017,0.02455043496108243,9
582,adance,4668,1565682,0.002981448340084385,6
583,latency,4662,296196,0.015739577847101244,9
584,unriddling,4653,758016,0.006138392857142857,16
585,noman,4647,1398378,0.00332313580448205,16
586,prerogatives,4638,1537353,0.003016873808422659,15
587,indemnifies,4641,240372,0.01930757326144476,18
588,strontites,4617,387201,0.011924039452377447,7
589,Baraitas,4581,1500189,0.0030536152444791955,5
590,ettin,4596,2265012,0.0020291283224989536,20
591,hatch,4593,95652,0.04801781457784469,6
592,owlery,4551,955098,0.004764956056865369,9
593,retuned,4542,2504424,0.0018135906699504557,20
594,piously,4533,125343,0.036164763887891624,9
595,decernment,4539,214293,0.02118127983648556,3
596,unretrievable,4530,682077,0.006641478894611605,15
597,mountain-fever,4515,713562,0.00632741093275707,3
598,monocrystals,4506,171294,0.02630564993519913,1
599,neoliberal,4509,575025,0.007841398200078257,3
600,wisdoms,4518,1006020,0.004490964394346037,9
601,blackguardly,4512,616512,0.007318592338835254,20
602,cryptidine,4497,457599,0.009827381615781504,4
603,demigoddess,4512,1828509,0.00246758424486836,20
604,warlike,4494,1939461,0.0023171386276908896,20
605,press-plate,4503,1185687,0.0037977982384895847,10
606,haunting,4479,400359,0.011187459255318352,9
607,expostulation,4464,1567098,0.0028485774342127935,12
608,zipguns,4443,570660,0.007785721795815372,10
609,emperor,4464,362550,0.012312784443525031,16
610,remission,4428,1057119,0.00418874317839335,7
611,jodies,4425,396354,0.01116426225041251,7
612,interfold,4431,338736,0.01308098342071702,3
613,sheltie,4413,1076358,0.004099937009805288,16
614,antisemitism,4413,975417,0.004524218872543743,19
615,yarn-roll,4422,450327,0.009819531140704421,16
616,spar-varnish,4401,201465,0.021844985481349118,15
617,wrier,4392,2480688,0.0017704765774656064,11
618,moidore,4404,967098,0.00455383011856089,10
619,Disraeli,4398,374868,0.0117321297096578,1
620,exopterygote,4392,962850,0.004561458171054682,5
621,ruddled,4371,371004,0.011781544134295049,2
622,buntline,4377,459681,0.009521820566871373,6
623,Jazmin,4368,312330,0.0139852079531265,2
624,genotoxins,4350,328206,0.013253871044405039,1
625,formeth,4338,858027,0.005055784957816013,5
626,wagoner,4320,569658,0.007583497466901194,3
627,journeyman,4320,1058337,0.004081875621848239,14
628,murdering-piece,4314,259740,0.01660891660891661,4
629,intolerable,4323,390729,0.011063934338121818,2
630,akathisia,4284,907824,0.004718976365462909,18
631,whinged,4293,506136,0.00848191000047418,13
632,bribing,4293,818574,0.005244486142975467,19
633,coiner,4290,2254011,0.001903273763970096,7
634,egocentrically,4254,889695,0.004781413855309966,6
635,pourability,4230,556005,0.00760784525319017,5
636,blatant,4215,565017,0.00745995253240168,9
637,scoup,4221,765297,0.005515505744828478,12
638,full-fortuned,4206,469254,0.008963162807349538,5
639,overglad,4200,1382676,0.0030375879815661803,8
640,odism,4212,190968,0.022056051275606385,18
641,kirkgarth,4194,1137348,0.00368752571772228,7
642,Mantle,4182,419004,0.0099808116390297,16
643,gluelike,4179,5275803,0.000792106907706751,20
644,inexpressively,4185,397290,0.010533866948576607,5
645,dildoes,4143,227823,0.01818517006623563,15
646,hicksvilles,4149,750372,0.00552925748828581,9
647,yoick,4146,415005,0.009990241081432753,4
648,paragraphing,4140,5141448,0.0008052206304527441,7
649,scordato,4131,178911,0.023089692640474873,12
650,myopes,4119,312021,0.013201034545751729,11
651,waterwheels,4125,1323012,0.003117885552058485,18
652,hide-outs,4116,228585,0.0180064308681672,4
653,mourning-coach,4086,1090023,0.0037485447554776365,19
654,gaudiest,4065,509118,0.007984396544612447,15
655,nonstudio,4068,557121,0.007301824917746773,6
656,lilting,4053,467664,0.008666478497382736,12
657,toffs,4041,167298,0.024154502743607215,15
658,extraditing,4044,625590,0.006464297702968398,16
659,neoliberals,4032,20574003,0.00019597547448593257,11
660,nightdreams,4035,281025,0.01435815318921804,3
661,polly,4023,375441,0.01071539869113922,4
662,multiverse,3981,378630,0.010514222327866255,2
663,underdoses,3984,374694,0.010632676263831286,3
664,cosmid,3975,369165,0.01076754296859128,15
665,cordelier,3984,272376,0.01462683936910741,9
666,uncompressed,3972,247419,0.016053738799364642,12
667,geotherm,3966,654876,0.006056108331959027,5
668,retrievably,3972,341028,0.011647137478447518,10
669,adossé,3951,146565,0.02695732268959165,3
670,unsuspicion,3927,330342,0.011887680040685107,9
671,splendour,3912,328209,0.011919234390281802,2
672,minimizer,3930,605532,0.006490160718178395,4
673,privant,3924,237468,0.016524331699428976,10
674,flewed,3909,165864,0.023567501085226452,1
675,abandonings,3900,228150,0.017094017094017096,4
676,a-morwe,3873,699675,0.005535427162611213,11
677,resemblingly,3873,5448021,0.0007109003434458127,10
678,bacterium,3867,596550,0.006482273070153382,5
679,nonblue,3840,3008403,0.001276424734319172,16
680,trilingual,3849,310341,0.012402486297331,17
681,sacrileger,3834,350529,0.010937754080261548,15
682,manerial,3825,272181,0.014053148456358085,3
683,cohyponym,3831,822189,0.004659512593819669,5
684,shriving,3801,180741,0.021030092784702973,2
685,phalacrosis,3792,193083,0.01963922251052656,3
686,letterpress,3783,216729,0.01745497833700151,4
687,executioner,3774,357285,0.010562995927620807,9
688,ingest,3771,238554,0.015807741643401495,2
689,Nilgiri Hills,3768,645342,0.005838764562046171,13
690,alligatored,3783,169110,0.022370054993791022,9
691,taskers,3759,208014,0.018070899074100782,3
692,reselections,3753,2778018,0.0013509631687051704,20
693,neuropathical,3738,1021692,0.0036586368494614815,12
694,regnant,3756,438390,0.008567713679600356,9
695,encline,3735,160947,0.0232063971369457,15
696,purslane,3747,522201,0.007175397978939144,15
697,micropenis,3720,597357,0.0062274318372430556,10
698,platyrrhini,3705,247146,0.014991138841008958,2
699,freedivers,3696,363549,0.010166442487807697,7
700,wood-vetch,3681,277677,0.013256409425339514,16
701,Chaldeans,3684,189294,0.019461789597134616,3
702,streaked,3672,1225155,0.0029971717864270236,20
703,ropewalks,3669,547425,0.006702287984655432,7
704,huanghuali,3621,119832,0.030217304225916283,15
705,vicinity,3621,213684,0.016945583197618914,1
706,journeyperson,3636,9186018,0.0003958189500608425,20
707,fleshly,3627,1091340,0.0033234372422892957,9
708,mithered,3624,186024,0.01948135724422655,3
709,atoning,3597,193821,0.0185583605491665,2
710,autoprotolysis,3597,191679,0.01876574898658695,2
711,somatosensory,3579,462543,0.007737658985218672,14
712,virtual,3573,162561,0.021979441563474634,4
713,productizes,3576,459846,0.007776516485953993,9
714,blanco,3591,514017,0.006986150263512686,7
715,there're,3591,842346,0.004263093788063338,16
716,moodir,3573,1062009,0.00336437826798078,19
717,thermostat,3555,2196624,0.0016183925878985206,18
718,skulking,3552,577947,0.006145892270398497,5
719,Caladium,3567,154770,0.023047102151579762,7
720,waste,3543,330390,0.010723690184327613,16
721,sideburn,3528,173355,0.02035130224106602,15
722,cohomology,3540,2242728,0.0015784348347191457,10
723,presbyterianly,3537,763005,0.004635618377336977,8
724,yapping,3531,114921,0.030725454877698594,10
725,enswell,3510,795543,0.004412080805185892,5
726,cockarouse,3501,429342,0.008154338499378118,5
727,forebodings,3510,396192,0.008859340925611825,15
728,practices,3486,245874,0.014177993606481368,3
729,chitted,3474,189393,0.01834281098034246,1
730,landman,3480,482733,0.007208954018059673,5
731,formation,3462,172353,0.020086682564272162,4
732,pneumonias,3471,111657,0.031086273140062872,14
733,nonwave,3462,225192,0.015373547905787061,14
734,absidiole,3450,2365527,0.0014584487938628474,20
735,roche,3462,175689,0.019705274661475675,16
736,fingerboards,3447,238299,0.014465020835169262,1
737,zoomers,3423,289647,0.011817833431728967,5
738,assortments,3408,678006,0.005026504190228405,14
739,sightsees,3414,1713588,0.0019923108705243034,12
740,Tatil,3420,157290,0.021743276749952318,4
741,overstrike,3414,217104,0.015725182401061244,1
742,zoot-suiter,3408,290058,0.011749374263078418,7
743,incitable,3408,56559,0.060255662228823,11
744,unrespited,3390,391674,0.008655157094930989,19
745,language,3414,1395021,0.002447274987258256,14
746,alphabetize,3402,600930,0.005661225101093305,5
747,stiver,3384,219276,0.015432605483500247,12
748,theotocos,3381,464238,0.007282902304421439,5
749,spoiling,3381,50475,0.06698365527488856,4
750,Worships,3384,502014,0.006740847864800583,9
751,chronicon,3369,265653,0.01268195729014918,8
752,apodous,3378,3573357,0.0009453295598508629,18
753,adjutor,3369,368361,0.009145919356283646,6
754,black-hole,3333,2765694,0.0012051224755884056,15
755,offloaded,3339,892926,0.0037393916181184105,9
756,advances,3342,244368,0.013676095069730897,10
757,projection,3336,233493,0.014287366216546107,11
758,ginge,3327,1116669,0.002979396759469458,15
759,brokership,3327,1124694,0.002958137946854878,12
760,puniness,3321,278058,0.011943551345402757,5
761,hardtail,3312,207297,0.015977076368688403,2
762,vinegaroons,3309,1477671,0.002239334736893395,1
763,intertribal,3300,535260,0.006165228113440197,5
764,wheel-hoe,3279,1288191,0.0025454299867022825,6
765,union,3291,569826,0.005775447241789599,11
766,intimists,3279,647097,0.005067246487002721,5
767,topsider,3261,204576,0.01594028625058658,1
768,inconclusive,3282,1183356,0.0027734680011763154,11
769,dicephalous,3258,756753,0.00430523565813416,4
770,upthrust,3252,297543,0.010929512709087427,9
771,Caiaphas,3249,288732,0.011252649515813973,4
772,get-up-and-go,3252,729018,0.004460795206702715,14
773,orchester,3249,140859,0.02306561881029966,1
774,spoiling,3249,1030347,0.0031533066044740266,1
775,severer,3240,295470,0.01096558026195553,11
776,genetically,3237,334677,0.009672012119147715,6
777,husking-bee,3234,387345,0.008349146110056925,11
778,unidentifiable,3231,3643518,0.0008867803040907167,19
779,dissolvent,3237,117237,0.02761073722459633,1
780,evector,3231,681114,0.004743699292629427,12
781,bacteriologist,3204,1495341,0.002142655086699288,9
782,balsam-scented,3210,163095,0.01968178055734388,4
783,preventer-stays,3213,787656,0.004079191931503093,11
784,flair,3204,861027,0.0037211376646725364,10
785,deplorable,3183,735102,0.004330011345364317,4
786,distearyl,3180,201840,0.015755053507728895,6
787,sarangis,3177,422829,0.007513675741257104,11
788,wivern,3177,292344,0.01086733437320417,16
789,hetmans,3171,179841,0.017632241813602016,16
790,arguments,3162,250740,0.012610672409667385,10
791,beatific,3141,1402692,0.0022392656406395703,14
792,misleader,3102,1346022,0.0023045685731733954,12
793,rearer,3117,836337,0.003726966521868577,13
794,mathesis,3105,451017,0.006884441162971684,11
795,palatial,3096,175095,0.017681829863788228,18
796,webshops,3108,430191,0.0072246978667615085,4
797,unrip,3102,99147,0.03128687706133317,3
798,platanna,3081,315339,0.009770437529135312,9
799,shatterbrain,3069,304443,0.01008070476246785,15
800,reasons,3057,614691,0.004973230452373632,6
801,grayfish,3060,369009,0.008292480671203141,5
802,elephant-beetle,3048,605835,0.005031072816856074,20
803,scaremonger,3054,110154,0.027724821613377634,3
804,forerunners,3039,298911,0.010166905868301936,8
805,womanlike,3045,225651,0.013494289854687105,12
806,undertime,3048,413682,0.007367978302174134,14
807,bootlessly,3024,6282987,0.0004812997384842592,20
808,whisk,3036,213462,0.014222671950979565,15
809,phenylmethyl,3030,178449,0.01697964124203554,1
810,triggering,3012,875016,0.00344222277078362,4
811,consultive,2985,86598,0.034469618235986973,2
812,daphnia,3006,1068579,0.0028130816720148906,20
813,destrier,2997,146487,0.020459153371971576,9
814,replates,2988,341133,0.008759047057892376,20
815,medusidæ,2982,141861,0.0210205764797936,2
816,servicer,2961,471642,0.0062780668388311475,9
817,Saint-Louis,2967,261201,0.011359068303720124,10
818,spokespersons,2958,525345,0.0056305856151671755,7
819,swarm,2922,130158,0.02244963813211635,3
820,recommendations,2904,281016,0.010333931164061833,16
821,enstate,2925,285972,0.010228274096764719,10
822,agritourists,2901,4485003,0.0006468223098178529,19
823,fair-faced,2913,409350,0.007116159765481861,10
824,serpentinites,2904,486345,0.0059710699195015884,15
825,miscalculated,2871,233586,0.012290976342760268,3
826,wanness,2871,109476,0.02622492601118053,3
827,chain-bit,2859,246891,0.011580008991822302,5
828,kissing-gate,2847,66882,0.042567506952543285,1
829,inspissated,2850,306672,0.009293316637971514,15
830,dinghies,2850,121290,0.023497402918624784,14
831,cup-and-cone,2835,401475,0.007061460863067439,12
832,reannexing,2829,236208,0.011976732371469213,17
833,unturned,2811,295020,0.009528167581858857,9
834,crumbiest,2832,112740,0.025119744544970728,16
835,Myrtillocactus,2805,522345,0.0053700140711598655,18
836,despisal,2811,165348,0.017000508019449887,9
837,islamist,2793,224937,0.012416810040144574,9
838,substitute,2787,1350021,0.0020644123313637345,20
839,ensearch,2790,353529,0.007891856113642728,5
840,blackheads,2781,497670,0.005588040267647236,9
841,unsustainably,2766,67476,0.04099235283656411,15
842,nonapathetic,2769,396015,0.006992159387901973,12
843,unserialized,2760,251370,0.01097983052870271,9
844,neurovirulence,2748,42168,0.06516789982925442,1
845,nanoamperes,2733,667434,0.004094786900277781,5
846,multiplatform,2745,80667,0.03402878500502064,11
847,multitentacled,2727,3236775,0.0008425052714507496,12
848,Stalinists,2712,269097,0.010078150258085375,10
849,Yekaterinoslav,2715,6921012,0.00039228367180984517,18
850,gatekeeps,2706,2868024,0.0009435067488974988,20
851,in-clearing,2715,212745,0.012761757033067757,2
852,deglazing,2700,2201364,0.0012265122896531423,9
853,forgoers,2685,315360,0.008514079147640791,9
854,necrophagia,2679,240972,0.011117474229371047,11
855,spillikin,2667,3580680,0.0007448305908374945,15
856,unprophetic,2664,858690,0.0031024001676973065,3
857,cartilage-bone,2667,2207151,0.0012083450565910534,11
858,biserial,2646,184131,0.014370203822278703,9
859,tastefulness,2646,1600011,0.001653738630546915,15
860,monetary,2634,1142670,0.002305127464622332,3
861,tuitionary,2640,29595,0.08920425747592499,3
862,encrypting,2640,1271586,0.0020761474253412665,3
863,tebibyte,2628,548355,0.004792515797248133,8
864,fleshing,2601,1190481,0.00218483117328206,3
865,bottlenecking,2604,609012,0.004275777817185868,20
866,sugar-refinery,2607,227712,0.011448672006745363,5
867,chimney-swift,2580,295470,0.008731850949334957,10
868,felonly,2577,369351,0.006977103080809312,16
869,neurotics,2580,1088199,0.0023708898831923206,18
870,wealthily,2544,227226,0.011195901877426,5
871,Nahuelito,2550,146631,0.017390592712318676,2
872,pearl-mussel,2547,1418679,0.0017953321364452424,10
873,fancied,2544,1481352,0.0017173500963984251,17
874,Powers,2538,938553,0.0027041626844728,7
875,hornwrack,2523,2396778,0.0010526632003464652,7
876,epitomy,2526,192930,0.013092831596952263,4
877,outsprint,2520,596739,0.004222951742721692,9
878,waldo,2517,575490,0.00437366418182766,11
879,myelinating,2499,198732,0.012574723748565908,15
880,germens,2499,3185724,0.0007844370698779932,19
881,mineworker,2487,280677,0.008860718904648403,16
882,muenchen,2487,194838,0.012764450466541434,5
883,ozæna,2460,239100,0.010288582183186951,12
884,meadow,2481,313221,0.007920924842204066,20
885,wivern,2472,415860,0.0059443081806377146,1
886,toggel,2469,170478,0.014482807165733995,1
887,ethane,2424,782676,0.003097066985572574,9
888,reprimanding,2433,173232,0.01404474923801607,4
889,wedeln,2421,1700559,0.001423649517599801,3
890,haemosporidian,2403,349683,0.006871938298401695,14
891,waiter,2373,1990740,0.0011920190481931343,15
892,deordination,2370,178389,0.013285572540907791,7
893,bubba,2334,754170,0.003094792951191376,2
894,macronutrient,2322,724020,0.003207093726692633,1
895,bibcock,2310,321360,0.007188200149365198,11
896,alegar,2307,207660,0.0111095059231436,16
897,letters,2313,160380,0.014421997755331088,2
898,hatchet,2301,627297,0.0036681189293109964,5
899,roundabout,2274,1998003,0.0011381364292245807,7
900,flameouts,2277,985008,0.002311656352029628,7
901,adminicle,2280,1293024,0.001763308337664266,19
902,demonry,2280,124587,0.018300464735486046,3
903,brownest,2241,343827,0.0065178127372195905,20
904,unpressurized,2235,324417,0.006889281387843424,14
905,fistlike,2241,200226,0.011192352641515088,5
906,speeded,2223,717156,0.0030997439887555846,3
907,obligement,2223,156015,0.014248629939428901,13
908,teardrops,2199,208242,0.01055982942922177,4
909,junkie,2163,206679,0.010465504477958574,7
910,west-sider,2151,205296,0.010477554360533084,3
911,espaliered,2127,276732,0.007686136767703048,8
912,endocytosing,2124,684687,0.003102147404580487,19
913,parlement,2088,648300,0.0032207311429893566,2
914,fly-fungus,2094,89100,0.023501683501683503,7
915,rabbits,2052,182385,0.011250925240562546,11
916,malignity,2052,155478,0.013198008721491144,19
917,buff-coloured,2046,57372,0.035661995398452204,12
918,Sharif-led,2019,196671,0.010265875497658526,15
919,chocker,2019,143385,0.014080970812846531,18
920,dist.,1989,605667,0.003283982782618171,5
921,unemployed,1986,2151027,0.0009232799030416633,9
922,prohibit,1995,1156005,0.0017257710823050073,4
923,whirr,1947,1104552,0.0017627056037198793,4
924,Salvis,1926,491097,0.003921832143140764,9
925,circumvent,1938,230073,0.008423413438343482,12
926,schoolboy,1914,1989693,0.0009619574477067568,9
927,half-asleep,1890,4404021,0.0004291532669803346,12
928,wormian,1887,2952345,0.0006391529445237599,7
929,cacher,1887,1268007,0.0014881621315970654,3
930,remission,1881,1178205,0.0015964963652335545,15
931,topsoil,1872,1419687,0.0013186005084219268,10
932,nondegenerate,1872,248742,0.007525870178739417,5
933,HSCSD,1854,1612677,0.00114964124868154,9
934,teleoscope,1845,2647509,0.0006968814836890072,15
935,unbestial,1821,1030878,0.0017664553904535745,2
936,Zambesi,1812,836748,0.0021655265384560225,2
937,zircaloy,1812,192027,0.009436173038166507,5
938,fucaceae,1776,593028,0.0029947995710151967,4
939,Lehmann,1770,277212,0.0063850049781394745,6
940,nimbys,1788,807366,0.002214608987745335,12
941,bezoardic,1761,576375,0.00305530253741054,6
942,unregulated,1737,998691,0.0017392767132176018,9
943,tibiotarsus,1731,1985355,0.0008718843733236625,16
944,vibrion,1740,232188,0.007493927334745982,20
945,idoneity,1728,525111,0.0032907328164902276,18
946,stateswoman,1731,226080,0.0076565817409766455,5
947,complicity,1698,640914,0.0026493414092998435,1
948,shirred,1683,1155018,0.0014571201487769022,4
949,Heriz,1677,652752,0.0025691227296124716,11
950,crab-grass,1656,372204,0.004449173034142567,12
951,assumingly,1656,999009,0.001657642723939424,7
952,uncrying,1623,167478,0.009690825063590442,5
953,off-kilter,1587,395058,0.004017131661680057,9
954,anyhoo,1590,1563024,0.0010172588520713692,18
955,cartoons,1578,279690,0.0056419607422503485,20
956,depulse,1575,439968,0.003579805804058477,9
957,Griselda,1569,336009,0.004669517780773729,9
958,advertising,1575,502161,0.0031364442877881795,4
959,spatha,1542,747012,0.0020642238678896725,12
960,cajolingly,1539,840006,0.0018321297705016393,6
961,saffron,1491,373836,0.003988379931306776,15
962,disambiguated,1506,860691,0.0017497568813894882,11
963,pannes,1506,1401450,0.0010746013057904313,16
964,campi,1494,599667,0.0024913827174081614,10
965,anthroposcopy,1476,1477677,0.0009988651105755858,12
966,chiaroscuros,1476,1785351,0.0008267281895828888,11
967,onychorrhexis,1410,662466,0.0021284111184574,2
968,unaromatic,1392,484728,0.0028717136208347774,1
969,mongoloid,1386,119697,0.011579237574876564,15
970,immemorially,1377,280746,0.0049047893825735715,11
971,hacksaws,1344,509298,0.002638926522389642,12
972,camelopard,1314,232818,0.00564389351338814,5
973,tretis,1320,206025,0.006406989443028759,1
974,Sorbs,1248,719295,0.0017350322190478177,19
975,pentine,1239,151944,0.008154320012636234,3
976,remystifies,1224,349692,0.0035002230534298753,8
977,soricine,1215,749859,0.0016203046172680465,1
978,playable,1131,258897,0.00436853265970637,18
979,pouse,1128,1216344,0.0009273692310727887,15
980,remnants,1110,748731,0.00148250840421994,3
981,rallus,1077,659106,0.001634031551829296,3
982,cutoff,1044,1181028,0.0008839756551072455,4
983,forkhead,1047,597015,0.0017537247807844023,11
984,crutch,996,149478,0.00666318789387067,10
985,trifler,993,177951,0.005580187804507982,4
986,unisonous,984,395472,0.002488166039567909,6
987,lionizes,960,616779,0.0015564732262285195,9
988,antipoaching,945,477465,0.0019792026640696177,6
989,militarylike,918,104394,0.008793608828093569,4
990,bountiful,900,579867,0.0015520800459415693,2
991,resiny,906,4266012,0.0002123763364941308,10
992,governorates,888,2037003,0.00043593455679741266,14
993,sciurine,879,171657,0.005120676698299516,9
994,cloister,846,514686,0.0016437206374371948,17
995,wearisome,822,718347,0.0011442937744571913,16
996,syllabi,834,543477,0.0015345635601874596,1
997,eliminating,642,222567,0.0028845246599900256,16
998,subduplicate,645,636309,0.001013658458390499,2
999,offprints,603,203418,0.0029643394389877002,13
